Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years,CPI
1974-06-01,29755.77,0.53,136.9,93.3,3152,11147,0.128,0.239719923,0.472222222,0.389847716,0.146191646,0.380639509,0.282886408,,49
1974-07-01,29902.77,0.53,143,103.3,3152,11147,0.128,0.245844411,0.472222222,0.45177665,0.269041769,0.380639509,0.282886408,,49.3
1974-08-01,30175.76,0.53,148.7,108.3,3152,11147,0.121,0.257218041,0.472222222,0.50964467,0.33046683,0.380639509,0.282886408,,49.9
1974-09-01,30469.74,0.53,147,109.5,3152,11147,0.129,0.269466182,0.472222222,0.492385787,0.345208845,0.380639509,0.282886408,,50.6
1974-10-01,30721.73,0.53,142,108.5,3152,11147,0.134,0.279964886,0.472222222,0.441624365,0.332923833,0.380639509,0.282886408,,51
1974-11-01,30952.72,0.53,139.7,111,3152,11147,0.138,0.289588664,0.472222222,0.418274112,0.363636364,0.380639509,0.282886408,,51.5
1974-12-01,31435.7,0.53,137.3,112.3,3152,11147,0.14,0.309711145,0.472222222,0.393908629,0.37960688,0.380639509,0.282886408,,51.9
1975-01-01,32033.5,0.57,138.1,114.6,3335,11724,0.132,0.334617392,0.583333333,0.402030457,0.407862408,0.460797197,0.349292209,,52.3
1975-02-01,32086.75,0.57,134.2,114.5,3335,11724,0.125,0.336835957,0.583333333,0.362436548,0.406633907,0.460797197,0.349292209,,52.6
1975-03-01,32169.16,0.57,132.2,113.3,3335,11724,0.127,0.340269419,0.583333333,0.34213198,0.391891892,0.460797197,0.349292209,,52.8
1975-04-01,32222.41,0.57,139.4,115.4,3335,11724,0.142,0.342487983,0.583333333,0.415228426,0.417690418,0.460797197,0.349292209,,53
1975-05-01,32318.77,0.57,154,122.6,3335,11724,0.173,0.346502647,0.583333333,0.563451777,0.506142506,0.460797197,0.349292209,,53.1
1975-06-01,32298.49,0.57,164.5,130.1,3335,11724,0.143,0.345657718,0.583333333,0.670050761,0.598280098,0.460797197,0.349292209,,53.5
1975-07-01,32472.18,0.57,167.9,143.3,3335,11724,0.126,0.352894195,0.583333333,0.704568528,0.76044226,0.460797197,0.349292209,,54
1975-08-01,32664.89,0.57,162.2,149.7,3335,11724,0.13,0.360923106,0.583333333,0.646700508,0.839066339,0.460797197,0.349292209,,54.2
1975-09-01,32994.54,0.57,159.5,153.3,3335,11724,0.13,0.374657372,0.583333333,0.61928934,0.883292383,0.460797197,0.349292209,,54.6
1975-10-01,33239.23,0.57,159.1,158.2,3335,11724,0.134,0.384851935,0.583333333,0.615228426,0.943488943,0.460797197,0.349292209,,54.9
1975-11-01,33475.05,0.57,158,153.5,3335,11724,0.127,0.394676946,0.583333333,0.604060914,0.885749386,0.460797197,0.349292209,,55.3
1975-12-01,33570.14,0.57,157.4,147.1,3335,11724,0.12,0.398638697,0.583333333,0.597969543,0.807125307,0.460797197,0.349292209,,55.6
1976-01-01,33693.12,0.59,155.4,143.9,3685,12691,0.117,0.403762435,0.638888889,0.577664975,0.767813268,0.614104249,0.460582345,,55.8
1976-02-01,33757.78,0.59,149.2,141.3,3685,12691,0.123,0.406456376,0.638888889,0.514720812,0.735872236,0.614104249,0.460582345,,55.9
1976-03-01,34054.46,0.59,141.5,138.4,3685,12691,0.122,0.418817007,0.638888889,0.436548223,0.7002457,0.614104249,0.460582345,,56
1976-04-01,34395.51,0.59,148.6,136.3,3685,12691,0.117,0.433026234,0.638888889,0.508629442,0.674447174,0.614104249,0.460582345,,56.1
1976-05-01,34801.22,0.59,148.5,138.3,3685,12691,0.123,0.449929402,0.638888889,0.507614213,0.699017199,0.614104249,0.460582345,,56.4
1976-06-01,34908.99,0.59,147.5,140.1,3685,12691,0.114,0.454419442,0.638888889,0.497461929,0.721130221,0.614104249,0.460582345,,56.7
1976-07-01,35196.79,0.59,145,141.8,3685,12691,0.117,0.466410105,0.638888889,0.472081218,0.742014742,0.614104249,0.460582345,,57
1976-08-01,35426.27,0.59,142.4,137.1,3685,12691,0.117,0.475970971,0.638888889,0.445685279,0.684275184,0.614104249,0.460582345,,57.3
1976-09-01,35681.11,0.59,141,132.4,3685,12691,0.114,0.486588415,0.638888889,0.431472081,0.626535627,0.614104249,0.460582345,,57.6
1976-10-01,35797.75,0.59,140.2,124.6,3685,12691,0.111,0.491448008,0.638888889,0.423350254,0.530712531,0.614104249,0.460582345,,57.9
1976-11-01,36005.68,0.59,142.6,117.3,3685,12691,0.114,0.500111032,0.638888889,0.447715736,0.441031941,0.614104249,0.460582345,,58.1
1976-12-01,36304.89,0.59,146,117,3685,12691,0.106,0.512577072,0.638888889,0.482233503,0.437346437,0.614104249,0.460582345,,58.4
1977-01-01,36606.64,0.62,144.6,119.5,4006,13579,0.106,0.525148935,0.722222222,0.468020305,0.468058968,0.754708717,0.562780527,,58.7
1977-02-01,37036.44,0.62,141.6,121,4006,13579,0.093,0.543055769,0.722222222,0.437563452,0.486486486,0.754708717,0.562780527,,59.3
1977-03-01,37566.4,0.62,140.3,120.9,4006,13579,0.105,0.565135587,0.722222222,0.424365482,0.485257985,0.754708717,0.562780527,,59.6
1977-04-01,38234.56,0.62,141.1,118.8,4006,13579,0.105,0.592973255,0.722222222,0.43248731,0.459459459,0.754708717,0.562780527,,60
